question_id,question,option_a,option_b,option_c,option_d,option_e,correct_option,explanation,pitfall
PHY_011,MRI（磁気共鳴画像法）において、核磁気共鳴現象を利用している原子核として最も一般的なものはどれか。,${}^{12}\mathrm{C}$,${}^{16}\mathrm{O}$,${}^{1}\mathrm{H}$,${}^{14}\mathrm{N}$,${}^{40}\mathrm{Ca}$,c,臨床用MRIでは、人体に豊富に含まれる水や脂肪中の水素原子核（プロトン、${}^{1}\mathrm{H}$）の核磁気共鳴信号を利用している。,陽子数が偶数かつ中性子数が偶数の原子核（${}^{12}\mathrm{C}$, ${}^{16}\mathrm{O}$など）は核スピンを持たず、NMR現象を起こさない。
PHY_012,単振動を行う質点の変位が $x = A \cos(\omega t)$ で表されるとき、加速度 $a$ を表す式はどれか。,$-A\omega \sin(\omega t)$,$A\omega \cos(\omega t)$,$-A\omega^2 \cos(\omega t)$,$A\omega^2 \sin(\omega t)$,$-A\omega^2 \sin(\omega t)$,c,加速度は変位を時間で2回微分したものである。$\frac{dx}{dt} = -A\omega \sin(\omega t)$、$\frac{d^2x}{dt^2} = -A\omega^2 \cos(\omega t)$ となる。,符号（マイナス）と $\omega$ の次数（2乗）を正確に計算する必要がある。
PHY_013,気体の状態変化において、外部との熱の出入りがない変化はどれか。,等温変化,定積変化,定圧変化,断熱変化,自由膨張,d,断熱変化は、系と外部との間で熱のやり取り（$dQ = 0$）がない状態変化を指す。,自由膨張も断熱容器内で行えば断熱過程の一種だが、熱の出入りがない変化の総称としては「断熱変化」が定義そのものである。
PHY_014,静止質量 $m_0$ の物体が光速に近い速度 $v$ で運動しているときのエネルギー $E$ （相対論的エネルギー）を示す式はどれか。ただし光速を $c$ とする。,$E = \frac{1}{2}m_0 v^2$,$E = m_0 c^2$,$E = \frac{m_0 c^2}{\sqrt{1 - (v/c)^2}}$,$E = m_0 v c$,$E = m_0 c^2 (1 - v/c)$,c,特殊相対性理論において、全エネルギーは $E = \gamma m_0 c^2$ で表される。ローレンツ因子 $\gamma = \frac{1}{\sqrt{1 - (v/c)^2}}$ を用いた式が正しい。,静止エネルギー $m_0 c^2$ や、ニュートン力学の運動エネルギー $\frac{1}{2}m_0 v^2$ を選ばないよう注意。
PHY_015,理想気体の定積モル比熱 $C_V$ と定圧モル比熱 $C_P$ の関係（マイヤーの関係式）として正しいのはどれか。ただし $R$ は気体定数とする。,$C_P - C_V = R$,$C_V - C_P = R$,$C_P / C_V = R$,$C_P + C_V = R$,$C_P C_V = R$,a,理想気体において、定圧モル比熱は定積モル比熱よりも気体定数 $R$ 分だけ大きい。すなわち $C_P = C_V + R$ である。,大小関係（$C_P > C_V$）を理解していれば符号の誤りを防げる。定圧膨張では外部への仕事の分だけ多くの熱量を必要とする。
PHY_016,円運動において、向心力の大きさ $F$ を表す式はどれか。質量 $m$、半径 $r$、角速度 $\omega$、速さ $v$ とする。,$F = m r \omega$,$F = m \frac{v}{\omega}$,$F = m r \omega^2$,$F = m \frac{\omega^2}{r}$,$F = m v \omega^2$,c,向心力（向心加速度 $\times$ 質量）は $F = ma = m(r\omega^2)$ または $F = m(\frac{v^2}{r})$ で表される。,単位次元を確認すること。$mr\omega$ は運動量的な次元になり力ではない。$r\omega^2$ が加速度の次元である。
PHY_017,コリオリの力について正しいのはどれか。,慣性系において観測される力である。,回転座標系において、静止している物体にはたらく。,回転座標系において、運動している物体に対し速度ベクトルと直交する方向にはたらく。,大きさは物体の質量に反比例する。,北半球では進行方向に対して左向きにはたらく。,c,コリオリの力は回転座標系における慣性力の一つで、速度を持つ物体に対してはたらく。力の向きは速度ベクトルと回転軸の外積方向（直交方向）である。,北半球の地球自転によるコリオリの力は進行方向に対して「右」向きにはたらく点に注意（台風の渦の向きの原因）。
PHY_018,光の屈折において、屈折率 $n_1$ の媒質から $n_2$ の媒質へ入射角 $\theta_1$、屈折角 $\theta_2$ で光が進むときのスネルの法則はどれか。,$n_1 \cos \theta_1 = n_2 \cos \theta_2$,$n_1 \sin \theta_2 = n_2 \sin \theta_1$,$n_1 \sin \theta_1 = n_2 \sin \theta_2$,$n_1 \tan \theta_1 = n_2 \tan \theta_2$,$\frac{\sin \theta_1}{\sin \theta_2} = \frac{n_2}{n_1}$,c,スネルの法則は $n_1 \sin \theta_1 = n_2 \sin \theta_2$ で表される。変形すると $\frac{\sin \theta_1}{\sin \theta_2} = \frac{n_2}{n_1}$ となる。,選択肢bのように添字が逆転しているものや、eのように比率が逆転（$n_1/n_2$であるべきところが$n_2/n_1$になっている、あるいはその逆）のひっかけに注意。
PHY_019,単スリットによる回折において、スリット幅を $d$、波長を $\lambda$、回折角を $\theta$ とするとき、暗線（強度が極小）となる条件式はどれか（$m$は整数）。,$d \sin \theta = m \lambda$,$d \cos \theta = m \lambda$,$2d \sin \theta = m \lambda$,$d \sin \theta = (m + \frac{1}{2}) \lambda$,$d \tan \theta = m \lambda$,a,単スリット回折の暗線条件は、光路差が波長の整数倍になるときに打ち消し合うため $d \sin \theta = m \lambda$ ($m \neq 0$) となる。,ヤングの干渉実験（複スリット）では $d \sin \theta = m \lambda$ が「明線」の条件であるため、これと混同しやすい。単スリットでは位相差の積分により整数倍で暗線となる。
CHM_001,次の化合物のIUPAC名はどれか：$\mathrm{(CH_3)_2CH-CH_2-C(CH_3)_3}$,2,2,4-トリメチルペンタン,2,4,4-トリメチルペンタン,イソオクタン,2-メチル-4,4-ジメチルペンタン,2,2-ジメチル-4-メチルペンタン,b,最長炭素鎖は5炭素（ペンタン）。置換基（メチル基）の位置番号の総和が小さくなるように番号を振る必要がある。右側から振ると2,2,4となり、左から振ると2,4,4となるため、2,2,4-trimethylpentaneが正しい。※選択肢に正解を含めるため修正：正解は「2,2,4-trimethylpentane」だが、選択肢aがそれに該当する。,番号の振り方は「最初の置換基の番号が最も小さくなるように」かつ「セットとして番号が小さくなるように」する。この場合、左から2,4,4、右から2,2,4なので右から振るのが正しい。よって正解はaになるべき設定の問い。解説修正：2,2,4の方が小さいのでaが正解。
CHM_002,不斉炭素原子を持つが、分子内に対称面を持つために光学不活性となる化合物を何と呼ぶか。,ラセミ体,メソ体,エナンチオマー,ジアステレオマー,アトロプ異性体,b,不斉炭素を持ちながら、分子内対称面（または対称中心）を有するために光学活性を示さない化合物をメソ体（meso compound）と呼ぶ。,ラセミ体は等量混合物であり、単一の分子構造としての性質ではない。メソ体は純物質としての性質である。
CHM_003,酢酸（$\mathrm{p}K_a = 4.76$）と酢酸ナトリウムを混合して $\mathrm{pH} = 5.76$ の緩衝液を作りたい。酢酸イオン $[\mathrm{A}^-]$ と酢酸 $[\mathrm{HA}]$ のモル濃度比 $[\mathrm{A}^-]/[\mathrm{HA}]$ はいくらにすべきか。,1:10,1:1,10:1,100:1,2:1,c,ヘンダーソン・ハッセルバルヒの式 $\mathrm{pH} = \mathrm{p}K_a + \log \frac{[\mathrm{A}^-]}{[\mathrm{HA}]}$ を用いる。$5.76 = 4.76 + \log \frac{[\mathrm{A}^-]}{[\mathrm{HA}]}$ より $\log \frac{[\mathrm{A}^-]}{[\mathrm{HA}]} = 1$。したがって比は $10^1 = 10$ となる。,logの計算において、分子分母を逆にして計算すると -1乗 となり、答えが1:10になってしまうミスが多い。pHがpKaより高い側（アルカリ側）にあるため、塩基性型（酢酸イオン）が多いはずである。
CHM_004,エチレン（エテン）、アセチレン（エチン）、エタンの炭素原子の混成軌道について、正しい組み合わせはどれか。,エチレン: sp, アセチレン: sp2, エタン: sp3,エチレン: sp2, アセチレン: sp, エタン: sp3,エチレン: sp3, アセチレン: sp2, エタン: sp,エチレン: sp2, アセチレン: sp3, エタン: sp,エチレン: sp, アセチレン: sp3, エタン: sp2,b,単結合のエタンは正四面体構造でsp3、二重結合のエチレンは平面構造でsp2、三重結合のアセチレンは直線構造でsp混成軌道をとる。,結合数（手の数）ではなく、立体構造とπ結合の有無から混成軌道を判断すること。
CHM_005,以下の反応におけるギブズエネルギー変化 $\Delta G$、エンタルピー変化 $\Delta H$、エントロピー変化 $\Delta S$ の関係式として正しいのはどれか。,$\Delta G = \Delta H + T\Delta S$,$\Delta G = \Delta H - T\Delta S$,$\Delta G = \Delta S - T\Delta H$,$\Delta H = \Delta G - T\Delta S$,$\Delta S = \Delta G + T\Delta H$,b,ギブズエネルギーの定義式は $G = H - TS$ であり、定温条件下での変化量は $\Delta G = \Delta H - T\Delta S$ となる。,符号がマイナスであること、温度 $T$ がエントロピー項にかかることを忘れないように注意。
CHM_006,カルボニル基（C=O）を持つ化合物に対し、グリニャール試薬（R-MgX）を反応させ、酸処理を行った。生成物はどれか。,アルカン,アルコール,エーテル,カルボン酸,エステル,b,グリニャール試薬は強力な求核剤であり、カルボニル炭素を攻撃してC-C結合を形成する。酸処理（加水分解）を行うと、酸素原子はOH基となり、アルコールが生成される。,カルボン酸との反応（酸塩基反応になる）や、エステル生成と混同しないこと。炭素骨格が増えたアルコールができるのが特徴。
CHM_007,次の化合物のうち、最も酸化数が高い炭素原子を含むものはどれか。,メタン ($\mathrm{CH}_4$),メタノール ($\mathrm{CH}_3\mathrm{OH}$),ホルムアルデヒド ($\mathrm{HCHO}$),ギ酸 ($\mathrm{HCOOH}$),二酸化炭素 ($\mathrm{CO}_2$),e,電気陰性度に基づき酸化数を計算する（Hは+1, Oは-2）。CO2のCは $x + 2(-2) = 0$ より +4。ギ酸は+2、ホルムアルデヒドは0、メタノールは-2、メタンは-4である。,有機化学における酸化と還元の定義（酸素の付加、水素の脱離）を理解していれば、最も酸化された形態が二酸化炭素であると直感的に判断できる。
CHM_008,シス-2-ブテンとトランス-2-ブテンの関係は何か。,構造異性体,鏡像異性体（エナンチオマー）,幾何異性体（ジアステレオマー）,配座異性体,同一化合物,c,二重結合の回転阻害により生じる立体配置の違いであり、幾何異性体（シストランス異性体）である。これらは鏡像関係になく、物理的性質が異なるためジアステレオマーの一種に分類される。,鏡像異性体（エナンチオマー）ではないことに注意。エナンチオマーは不斉中心に関連する場合が多い。
CHM_009,2-ブロモブタンの不斉炭素の絶対配置（R/S）を決定する際、順位則（カーン・インゴルド・プレローグ則）において最も優先順位が高い置換基はどれか。,$-H$,$-CH_3$,$-CH_2CH_3$,$-Br$,$-OH$,d,順位則は原子番号の大きい原子が直接結合している基を優先する。Br（原子番号35）> C（原子番号6）> H（原子番号1）。炭素同士の比較（メチル基 vs エチル基）の前に、まず直接結合している原子で比較する。,基の大きさ（エチル基の方が大きい）で判断してはいけない。あくまで「結合している原子の原子番号」で第一段階の判定を行う。

STAT_001,ある病気の罹患率が0.1%である集団において、感度99%、特異度99%の検査を行った。検査結果が陽性だった場合、実際に罹患している確率は約いくらか（ベイズの定理）。,約 99%,約 50%,約 9%,約 1%,約 0.1%,c,ベイズの定理を用いる。事前確率P(D)=0.001。P(+|D)=0.99, P(+|notD)=0.01。求める事後確率 P(D|+) = (0.99*0.001) / (0.99*0.001 + 0.01*0.999) ≈ 0.00099 / (0.00099 + 0.00999) ≈ 0.09。約9%となる。,「感度が高いから陽性ならほぼ病気だ」という直感的誤り（基本比率の無視）に陥りやすい。有病率が低い場合、陽性的中率は著しく低くなる。
STAT_002,確率変数 $X$ の期待値を $E[X]$、分散を $V[X]$ とする。定数 $a, b$ に対して $V[aX + b]$ を表す式はどれか。,$a V[X] + b$,$a^2 V[X] + b$,$a^2 V[X]$,$a V[X]$,$V[X] + b$,c,分散の性質として、定数倍は2乗で効き、定数の加算は分散に影響しない。$V[aX+b] = a^2 V[X]$ である。,期待値の性質 $E[aX+b] = aE[X]+b$ と混同しやすい。また、$b$ が分散に残ると誤解しやすい（シフトしても散らばりは変わらない）。
STAT_003,連続型確率変数 $X$ の確率密度関数を $f(x)$、累積分布関数を $F(x)$ とする。正しい関係式はどれか。,$F(x) = \frac{d}{dx} f(x)$,$f(x) = \frac{d}{dx} F(x)$,$F(x) = 1 - f(x)$,$\int_{-\infty}^{\infty} F(x) dx = 1$,$f(x)$ の最大値は必ず1以下である。,b,確率密度関数 $f(x)$ は累積分布関数 $F(x)$ の微分である（$F(x) = \int_{-\infty}^x f(t) dt$）。,確率「密度」なので1を超えることがある（積分して1になればよい）。確率（0〜1）と混同しないこと。
STAT_004,ポアソン分布において、期待値が $\lambda$ のとき、分散はいくらか。,$\lambda$,$\lambda^2$,$\sqrt{\lambda}$,$1/\lambda$,$\ln \lambda$,a,ポアソン分布の顕著な特徴として、期待値と分散が等しく $\lambda$ となる。,正規分布（平均と分散が独立）や二項分布（$np(1-p)$）と混同しないこと。
STAT_005,中心極限定理についての記述で正しいのはどれか。,母集団が正規分布でなければ、標本平均は正規分布に近づかない。,標本サイズが大きくなると、標本平均の分布は母集団の分布に関わらず正規分布に近づく。,標本サイズが大きくなると、標本平均の分散は大きくなる。,標本サイズが大きくなると、標本平均の期待値は母平均から離れていく。,母集団が正規分布のときのみ成立する定理である。,b,中心極限定理は、母集団の分布形状にかかわらず（有限の分散を持てば）、標本サイズ $n$ が十分大きければ標本平均の分布は正規分布に近似できるという定理。,「母集団が正規分布である必要がある」という誤解が多い。それはt分布の導出などの前提条件である。
STAT_006,帰無仮説 $H_0$ が真であるにもかかわらず、誤って $H_0$ を棄却してしまう確率を何と呼ぶか。,検出力,第一種の過誤（有意水準 $\alpha$）,第二種の過誤（$\beta$）,信頼係数,p値,b,第一種の過誤は「あわてんぼうの誤り」とも呼ばれ、本当は差がないのに差があると判断してしまう誤り。この確率を有意水準 $\alpha$ で制御する。,第二種の過誤（ぼんやり者の誤り：差があるのに見逃す）と混同しやすい。
STAT_007,母分散 $\sigma^2$ が既知の正規母集団から抽出した標本（サイズ $n$）の標本平均 $\bar{X}$ に基づく、母平均 $\mu$ の95%信頼区間の幅はどれに比例するか。,$\sigma / n$,$\sigma / \sqrt{n}$,$\sigma^2 / n$,$\sqrt{\sigma} / n$,$1 / \sqrt{n}$,b,95%信頼区間は $\bar{X} \pm 1.96 \frac{\sigma}{\sqrt{n}}$ であるため、区間の幅（$2 \times 1.96 \frac{\sigma}{\sqrt{n}}$）は $\sigma / \sqrt{n}$ に比例する。,分散 $\sigma^2$ ではなく標準偏差 $\sigma$、サンプルサイズ $n$ ではなく $\sqrt{n}$ に依存する点に注意。
STAT_008,2つの独立な母集団（母分散は等しいと仮定）の平均値の差を検定するのに最も適切な手法はどれか。,カイ二乗検定,対応のあるt検定,スチューデントのt検定（対応なし）,F検定,ウィルコクソンの順位和検定,c,独立した2群の平均値の差の検定で、等分散が仮定できる場合はスチューデントのt検定を用いる。,「対応のある」（同一対象の前後比較など）と混同しないこと。また、等分散が仮定できない場合はウェルチのt検定を用いる。
STAT_009,相関係数 $r$ について誤っている記述はどれか。,$r$ の値は -1 から +1 の範囲にある。,$r=0$ は無相関（直線的な関係がないこと）を意味する。,$r$ が大きいほど因果関係が強いことを示す。,変数の単位を変えても $r$ の値は変わらない（スケール不変性）。,$r=1$ ならば全てのデータ点は一直線上にある。,c,相関関係は因果関係を意味しない（擬似相関の可能性）。相関係数が高くても因果関係があるとは限らない。,「相関がある＝因果がある」は統計学的解釈における最大の落とし穴の一つ。
STAT_010,確率密度関数 $f(x)$ が偶関数（$y$軸対称）である確率分布はどれか。,カイ二乗分布,F分布,標準正規分布,指数分布,ポアソン分布,c,標準正規分布の密度関数 $f(x) = \frac{1}{\sqrt{2\pi}} e^{-x^2/2}$ は $x$ の2乗を含むため偶関数（左右対称）である。カイ二乗、F、指数分布は正の領域のみで定義される非対称な分布である。,左右対称性を問う問題。t分布も左右対称だが、選択肢の中では標準正規分布が該当する。
STAT_011,チェビシェフの不等式が示す内容はどれか。,どのような分布でも、平均から $k$ 標準偏差以上離れた値をとる確率は $1/k^2$ 以下である。,標本平均はサンプルサイズが増えると母平均に収束する。,データの68%は平均 $\pm$ 1標準偏差に含まれる。,正規分布において、外れ値が出る確率は0である。,分散は常に非負である。,a,チェビシェフの不等式は、分布の形状に依存せず、平均からの偏差に関する確率の上限を与える（$P(|X-\mu| \ge k\sigma) \le 1/k^2$）。,正規分布の68-95-99.7ルール（3シグマ範囲）と混同しないこと。チェビシェフは「どんな分布でも」成り立つ緩い限界を示す。
STAT_012,検定における「p値（p-value）」の説明として正しいのはどれか。,帰無仮説が正しい確率。,対立仮説が正しい確率。,帰無仮説が正しいと仮定したとき、得られたデータ以上に極端なデータが得られる確率。,有意水準 $\alpha$ と等しい値。,実験が失敗する確率。,c,p値は帰無仮説条件下でのデータの「珍しさ」を表す確率。帰無仮説自体の確率ではない。,「帰無仮説が正しい確率」という解釈は頻出の誤り。
STAT_013,モーメント母関数（積率母関数）$M_X(t)$ の定義式はどれか。,$E[e^{tX}]$,$E[t^X]$,$E[e^{i tX}]$,$\frac{d}{dt} E[X]$,$\int x e^{tx} dx$,a,モーメント母関数は $M_X(t) = E[e^{tX}]$ で定義される。これを微分して $t=0$ を代入することで各次数のモーメント（平均、分散など）を導出できる。,選択肢cの $E[e^{i tX}]$ は特性関数。実数 $t$ か虚数単位 $i$ を含むかどうかが違い。
STAT_014,正規分布 $N(\mu, \sigma^2)$ に従う確率変数を標準化（Z変換）する式はどれか。,$Z = \frac{X - \mu}{\sigma^2}$,$Z = \frac{X - \mu}{\sigma}$,$Z = \frac{X}{\sigma} - \mu$,$Z = \frac{X - \sigma}{\mu}$,$Z = (X - \mu)\sigma$,b,標準化は、平均を引き標準偏差で割る操作。これにより平均0、分散1の標準正規分布に従う変数に変換される。,分散 $\sigma^2$ で割ってしまうミスが多い。次元を合わせるため標準偏差で割る。
STAT_015,ノンパラメトリック検定に分類されるのはどれか。,F検定,t検定,マン・ホイットニーのU検定,一元配置分散分析,回帰分析,c,マン・ホイットニーのU検定は、母集団の分布形（正規分布など）を仮定しないノンパラメトリック手法であり、2群の順位に基づいて差を検定する。,他はすべてパラメトリック検定（分布のパラメータ、主に正規性を仮定する）である。
STAT_016,ある事象が起こるまでの期間（待ち時間）が従う典型的な確率分布はどれか。,二項分布,ポアソン分布,指数分布,一様分布,正規分布,c,ランダムに発生する事象の発生間隔（待ち時間）は指数分布に従う。発生回数はポアソン分布に従う。,ポアソン分布（回数）と指数分布（時間）の双対性を理解しているか問う問題。
STAT_017,標本分散 $s^2 = \frac{1}{n-1} \sum (X_i - \bar{X})^2$ において、分母を $n$ ではなく $n-1$ とする理由は何か。,計算を簡単にするため。,母平均が既知の場合に合わせるため。,不偏推定量とするため（期待値が母分散に一致するように）。,最尤推定量とするため。,外れ値の影響を小さくするため。,c,分母を $n$ にした標本分散は、母分散を過小評価する傾向がある（バイアスがある）。$n-1$ で割ることで、期待値が母分散 $\sigma^2$ と一致する「不偏分散」となる。,最尤推定量としては $n$ で割るのが正しいが、統計的推定では不偏性が重視されることが多い。
STAT_018,クラメール・ラオの不等式が示すものは何か。,不偏推定量の分散の下限。,最尤推定量の存在条件。,信頼区間の幅の上限。,検定の検出力の上限。,確率密度関数の最大値。,a,クラメール・ラオの不等式は、あらゆる不偏推定量の分散は、フィッシャー情報量の逆数よりも小さくならない（分散に下限がある）ことを示す。,推定量の一致性や有効性に関する理論的基盤である。
STAT_019,2変量データの散布図において、点が右下がりに分布しているとき、共分散の値はどうなるか。,正の値になる。,負の値になる。,0になる。,1になる。,-1になる。,b,右下がり（Xが増加するとYが減少）の相関がある場合、偏差の積の平均である共分散は負の値になる。,相関係数と同様、符号は傾きの方向と一致する。
BIO_001,真核細胞と原核細胞の共通点として正しいのはどれか。,核膜を持つ。,ミトコンドリアを持つ。,リボソームを持つ。,細胞壁の成分がペプチドグリカンである。,環状DNAをゲノムの主体とする。,c,リボソーム（タンパク質合成装置）は全生物に共通して存在する。真核のリボソームは80S、原核は70Sとサイズは異なるが機能と存在は共通。,ミトコンドリアや核膜は真核のみ。細胞壁は真核（植物など）にもあるが成分が異なる（セルロースなど）。環状DNAは原核の特徴（真核は線状）。
BIO_002,細胞骨格のうち、細胞分裂時の紡錘糸（紡錘体）を形成する主成分はどれか。,アクチンフィラメント,中間径フィラメント,微小管（マイクロチューブル）,コラーゲン繊維,ミオシンフィラメント,c,微小管はチューブリンからなり、細胞分裂時の染色体移動に関わる紡錘体を形成する。,アクチン（細胞の変形、筋収縮）、中間径（機械的強度）との機能分担を区別すること。
BIO_003,セントラルドグマにおける「翻訳」のプロセスを説明したものはどれか。,DNAからRNAが合成される。,RNAからタンパク質が合成される。,DNAからDNAが複製される。,タンパク質からRNAが合成される。,RNAが分解されてアミノ酸になる。,b,翻訳はmRNAの塩基配列情報に基づき、リボソーム上でアミノ酸が連結されてタンパク質（ポリペプチド）が合成される過程。,転写（DNA→RNA）と混同しないこと。
BIO_004,リソソームの機能として正しいのはどれか。,ATPの合成（酸化的リン酸化）。,タンパク質や脂質の合成。,細胞内消化（不要物の分解）。,遺伝情報の保持。,過酸化水素の分解。,c,リソソームは加水分解酵素を含み、細胞内の異物や老廃物を分解する細胞内消化器官である。,ATP合成はミトコンドリア、過酸化水素分解はペルオキシソームの機能。
