問題ID,問題文,選択肢A,選択肢B,選択肢C,選択肢D,選択肢E,正解,解説,間違えやすいポイント
A_CHEM_024,"弱酸の解離定数$K_a$から$pK_a$を求める正しい式はどれか。","$pK_a=K_a$","$pK_a=\log K_a$","$pK_a=-\log K_a$","$pK_a=\ln K_a$","$pK_a=e^{K_a}$",C,"$pK_a$は酸解離定数$K_a$の常用対数の負で定義される。酸の強さの比較に用いられる指標である。","自然対数と常用対数を混同しやすい。マイナス符号を忘れないことが重要である。"
A_CHEM_025,"分子中の炭素原子がsp混成軌道をとるのはどれか。","CH4","C2H4","C2H2","C6H6","C6H12",C,"アセチレンでは炭素が三重結合を形成し直線形構造となるためsp混成軌道をとる。","二重結合のsp2混成と混同しやすい。結合の種類を確認する必要がある。"
A_CHEM_026,"0.1mol毎リットルの塩化ナトリウム水溶液の凝固点降下は同濃度のグルコース水溶液の何倍か。","0.5倍","1倍","1.5倍","2倍","4倍",D,"塩化ナトリウムは水中でナトリウムイオンと塩化物イオンに電離するため粒子数が約2倍となり凝固点降下も約2倍となる。","電離を考慮せず同じと答えやすい。粒子数に比例することを思い出す必要がある。"
A_CHEM_027,"錯イオン$[\mathrm{Co(NH_3)_6}]^{3+}$における配位数はいくつか。","1","2","3","6","9",D,"配位数は中心金属に直接結合している配位子の数でありNH3が6個結合しているため6である。","電荷の数と混同しやすい。配位子の個数を数えることが重要である。"
A_CHEM_028,"ヘモグロビンの中心金属イオンとして正しいのはどれか。","Mg2+","Ca2+","Fe2+","Cu2+","Zn2+",C,"ヘモグロビンのヘムには二価鉄イオンが存在し酸素分子と可逆的に結合することで酸素運搬が可能となる。","クロロフィルの中心金属であるマグネシウムと混同しやすい。"
A_STAT_029,"10個のデータ集合の中央値として正しいのはどれか。","3","4","5","6","7",C,"データ数が偶数であるため中央の2つの値の平均をとる。並べると中央は5と5であり中央値は5となる。","偶数個のとき平均を取る規則を忘れると誤答しやすい。"
A_STAT_030,"データの散らばりの程度を表す指標でないのはどれか。","分散","標準偏差","四分位範囲","平均値","範囲",D,"平均値は中心傾向を表す指標でありデータのばらつきを示す指標ではない。","分散や標準偏差と役割を混同しやすい。中心と散らばりの区別が重要である。"
A_STAT_031,"確率変数$X$が正規分布$N(\mu,\sigma^2)$に従うとき$X$を標準化した確率変数$Z$の分布はどれか。","$N(0,1)$","$N(\mu,1)$","$N(0,\sigma^2)$","$N(1,1)$","$N(\mu,\sigma)$",A,"標準化とは$Z=(X-\mu)/\sigma$と変換することで平均0分散1の正規分布に従う変数を得る操作である。したがって分布は$N(0,1)$となる。","平均との差と分散の扱いを混同し$N(0,\sigma^2)$と誤答しやすい。標準化後は分散が1になる点に注意する。"
A_STAT_032,"2つの事象$A$と$B$が互いに独立であるとき正しいのはどれか。","$P(A\cap B)=0$","$P(A\cup B)=P(A)+P(B)$","$P(A\cap B)=P(A)\times P(B)$","$P(A|B)=0$","$A$と$B$は排反である",C,"独立事象とは一方の起こりやすさが他方に影響しない事象であり$P(A\cap B)=P(A)P(B)$が成り立つ。排反とは異なる概念である。","独立と排反を混同し$P(A\cap B)=0$と誤答しやすい。独立でも同時に起こる場合がある点に注意する。"
A_STAT_033,"ベイズの定理を用いて求められるのはどれか。","事前確率から事後確率","期待値から分散","標本平均から母平均","相関係数から回帰係数","検定統計量から有意水準",A,"ベイズの定理は観測された情報を用いて事前確率を更新し事後確率を求める方法である。診断検査の陽性的中率の計算などに用いられる。","期待値や分散の計算と混同しやすい。確率の更新に関する定理であることを理解する必要がある。"
A_STAT_034,"連続型確率変数$X$の確率密度関数$f(x)$について必ず成り立つのはどれか。","すべての$x$で$f(x)\ge0$","すべての$x$で$0\le f(x)\le1$","$\int_{-\infty}^{\infty}f(x)dx=0$","$f(x)$の最大値は1である","$f(x)=P(X=x)$",A,"確率密度関数は負の値をとらず$f(x)\ge0$を満たす。また全体の積分は1である。連続型では$P(X=x)=0$である。","確率と確率密度を混同し$0\le f(x)\le1$と誤答しやすい。密度は1を超えることもある。"
A_STAT_035,"期待値が$\mu$で分散が$\sigma^2$の確率変数$X$について$Y=aX+b$としたとき$Y$の分散はどれか。","$a\sigma^2$","$a^2\sigma^2$","$(a+b)\sigma^2$","$a\sigma^2+b$","$a^2\sigma^2+b^2$",B,"分散は定数倍に対して二乗で影響し$V(aX+b)=a^2V(X)$が成り立つ。加法定数$b$は分散に影響しない。","定数項$b$も分散に影響すると誤解しやすい。分散はばらつきのみを表す量である点を意識する。"
A_STAT_036,"2つの確率変数$X$と$Y$の相関係数$\rho$の取りうる値の範囲として正しいのはどれか。","$-\infty<\rho<\infty$","$0\le\rho\le1$","$-1\le\rho\le1$","$-2\le\rho\le2$","$\rho>0$",C,"相関係数は標準化された共分散であり値は常に$-1$から$1$の範囲に収まる。$|\rho|=1$は完全な線形関係を示す。","共分散と混同して無限大までと誤答しやすい。相関係数は規格化された指標である。"
A_STAT_037,"中心極限定理について正しいのはどれか。","標本サイズが大きくなると標本平均の分布は母集団分布に近づく","標本サイズが大きくなると標本平均の分布は正規分布に近づく","標本サイズが大きくなると標本平均の分散は増大する","母集団が正規分布でないと成り立たない","標本サイズが5以上で必ず成り立つ",B,"中心極限定理は母集団分布の形に関わらず標本サイズが十分大きければ標本平均の分布が正規分布に近づくことを示す定理である。","母集団が正規分布である必要があると誤解しやすい。標本サイズが十分大きい条件が重要である。"
A_STAT_038,"標本サイズ$n$の標本平均$\bar{X}$について$E(\bar{X})$と$V(\bar{X})$の正しい組合せはどれか。","$E=\mu,V=\sigma^2$","$E=\mu,V=\sigma^2/n$","$E=\mu/n,V=\sigma^2$","$E=\mu/n,V=\sigma^2/n$","$E=n\mu,V=n\sigma^2$",B,"標本平均の期待値は母平均$\mu$に等しく分散は個々の分散を$n$で割った$\sigma^2/n$となる。標本数が増えるとばらつきは小さくなる。","分散も$\sigma^2$のままと考えてしまいがちである。平均を取ることでばらつきが減少する点を理解する。"
A_STAT_039,"母平均$\mu$の信頼区間を95%から99%にすると幅はどうなるか。","狭くなる","広くなる","変わらない","半分になる","2倍になる",B,"信頼係数を大きくすると真の値を含む確率を高めるため区間は広がる。標本サイズが一定なら臨界値が大きくなるため幅は増加する。","信頼度を上げると精度が上がり狭くなると誤解しやすい。幅と信頼度はトレードオフの関係にある。"
A_STAT_040,"帰無仮説が正しいにもかかわらずこれを棄却してしまう誤りは何というか。","第一種の過誤","第二種の過誤","標本誤差","系統誤差","測定誤差",A,"第一種の過誤とは本当は正しい帰無仮説を誤って棄却してしまう誤りであり有意水準$\alpha$に対応する。","第二種の過誤と混同しやすい。帰無仮説が正しい場合に起こる誤りである点を確認する。"
A_STAT_041,"有意水準$\alpha$を小さくするとどうなるか。","第一種の過誤が大きくなる","第一種の過誤が小さくなる","第二種の過誤が小さくなる","検出力が大きくなる","信頼区間が狭くなる",B,"有意水準$\alpha$は第一種の過誤の確率であり$\alpha$を小さくすると誤って棄却する確率は減少する。","検出力が必ず上がると誤解しやすい。一般に第一種と第二種の過誤はトレードオフである。"
A_STAT_042,"対応のある2群の平均値の差の検定に用いるのはどれか。","対応のない$t$検定","対応のある$t$検定","$\chi^2$検定","$F$検定","符号検定",B,"同一対象を前後比較するなど対応のあるデータでは差をとって検定する対応のある$t$検定を用いる。独立2群の検定とは異なる。","独立2群と同じ$t$検定を用いてしまう誤りが多い。データの対応関係を確認する必要がある。"
A_STAT_043,"2つの独立な正規分布に従う母集団の分散の比の検定に用いる分布はどれか。","正規分布","$t$分布","$\chi^2$分布","$F$分布","二項分布",D,"分散比の検定では2つの分散の比が$F$分布に従うことを利用するため$F$分布を用いる。","$t$検定と混同しやすい。平均ではなく分散の比を検定する点が異なる。"
A_STAT_044,"2つのカテゴリカル変数の独立性の検定に用いるのはどれか。","$t$検定","$\chi^2$検定","$F$検定","分散分析","回帰分析",B,"分割表に基づき観測度数と期待度数の差を評価する独立性の検定には$\chi^2$検定を用いる。","平均値の検定と混同しやすい。度数データである点を確認する必要がある。"
A_STAT_045,"単回帰分析で決定係数$R^2$が1に近いとき正しいのはどれか。","当てはまりが悪い","当てはまりが良い","相関が弱い","残差が大きい","回帰係数が0に近い",B,"決定係数$R^2$はモデルがデータの分散をどれだけ説明できるかを示す指標であり1に近いほど当てはまりが良い。","$R$と$R^2$を混同しやすい。値が大きいほど良い当てはまりである。"
A_STAT_046,"多重比較法が必要となるのはどのような場合か。","2群の平均値を比較する場合","3群以上の平均値を比較する場合","比率を検定する場合","相関を検定する場合","分散を検定する場合",B,"3群以上の平均値を個別に比較すると第一種の過誤が増えるため多重比較法で有意水準を調整する必要がある。","2群比較と同じ方法で繰り返すと誤りやすい。誤検出率の増加に注意する。"
A_STAT_047,"生存時間データの解析に用いられる手法はどれか。","ロジスティック回帰","Cox比例ハザードモデル","主成分分析","クラスター分析","判別分析",B,"打ち切りを含む生存時間データの解析にはハザードを扱うCox比例ハザードモデルが広く用いられる。","二値データ解析と混同しロジスティック回帰を選びやすい。時間情報を扱う点が特徴である。"
A_BIO_048,"真核生物の細胞周期においてDNA複製が行われる時期はどれか。","G1期","S期","G2期","M期","G0期",B,"細胞周期ではDNAの複製はS期に行われる。G1期は成長期でありG2期は分裂準備期である。","G1期と混同しやすい。DNA合成期であるS期を覚える必要がある。"
A_BIO_049,"減数分裂の特徴として正しいのはどれか。","染色体数が変化しない","1回の分裂で2個の娘細胞ができる","体細胞で起こる","相同染色体の対合が起こる","DNA複製が2回行われる",D,"減数分裂では相同染色体の対合と分離が起こり染色体数が半減する。生殖細胞形成に特有の分裂である。","体細胞分裂と混同しやすい。染色体数が半分になる点に注意する。"
A_BIO_050,"メンデルの法則について誤っているのはどれか。","優性の法則の説明","分離の法則の説明","独立の法則の説明","連鎖遺伝子にも適用される","統計的法則である",D,"独立の法則は異なる染色体上の遺伝子に適用され連鎖している遺伝子には成り立たない。したがってこの選択肢が誤りである。","独立の法則がすべての遺伝子に成り立つと誤解しやすい。連鎖の概念を区別する必要がある。"
A_BIO_051,"DNAの二重らせん構造について正しいのはどれか。","AとGが対合","CとTが対合","2本鎖は平行","2本鎖は相補的","リン酸基が内側",D,"DNAはAとT，GとCが相補的に塩基対を形成し2本鎖は逆平行で外側にリン酸骨格が位置する。","塩基対の組合せを取り違えやすい。逆平行構造である点も重要である。"
A_BIO_052,"転写について正しいのはどれか。","DNAからmRNAが合成される","mRNAからタンパク質が合成される","DNAが複製される","tRNAがアミノ酸を運ぶ","リボソームが分解される",A,"転写とはDNAの情報をもとにRNAが合成される過程であり主にmRNAが産生される。翻訳とは別の過程である。","翻訳と混同しやすい。mRNA合成が転写である点を確認する。"
A_BIO_053,"遺伝暗号の特徴として誤っているのはどれか。","3塩基で1アミノ酸","開始コドンは1種","終止コドンは3種","縮重がある","生物ごとに異なる",E,"遺伝暗号はほぼすべての生物で共通であり普遍性をもつ。したがって生物ごとに異なるという記述は誤りである。","普遍性の概念を忘れやすい。例外はあるが基本的に共通である点が重要である。"
A_BIO_054,"PCR法について正しいのはどれか。","タンパク質を増幅","耐熱性DNAポリメラーゼを使用","常温で反応","プライマー不要","RNA合成に用いる",B,"PCR法では高温でDNAが変性するため耐熱性DNAポリメラーゼを用いてDNA断片を増幅する。","逆転写PCRと混同しRNAを直接増幅すると誤解しやすい。DNA増幅法である。"
A_BIO_055,"真核生物に特有な遺伝子発現調節機構はどれか。","オペロン","転写因子","スプライシング","リボソーム解離","mRNA分解",C,"真核生物ではイントロンが除去されるスプライシングにより多様なタンパク質が生成される。この機構は原核生物には存在しない。","転写因子は原核生物にも存在するため区別が必要である。スプライシングの有無に注意する。"
A_LIFE_056,"細胞膜の主要な構成成分はどれか。","タンパク質のみ","脂質のみ","糖質のみ","リン脂質とタンパク質","DNAとRNA",D,"細胞膜はリン脂質二重層にタンパク質が埋め込まれた構造をとる。糖鎖は付加されるが主成分ではない。","脂質だけでできていると誤解しやすい。膜タンパク質の役割を忘れないことが重要である。"
A_LIFE_057,"ミトコンドリアの主な機能はどれか。","タンパク質合成","ATP合成","DNA複製","光合成","脂肪酸合成",B,"ミトコンドリアは電子伝達系と酸化的リン酸化によりATPを合成し細胞のエネルギー供給を担う。","葉緑体と混同して光合成と答えやすい。ATP産生が主機能である。"
A_LIFE_058,"解糖系で1分子のグルコースから生成されるピルビン酸の数はいくつか。","1","2","3","4","6",B,"解糖系では1分子のグルコースが2分子のピルビン酸に分解される。この過程でATPとNADHが産生される。","途中の中間体の数と混同しやすい。最終産物の数に注意する。"
A_LIFE_059,"クエン酸回路が行われる細胞内の部位はどれか。","細胞質","ミトコンドリアマトリックス","ミトコンドリア内膜","核","リボソーム",B,"クエン酸回路はミトコンドリアのマトリックスで進行し還元型補酵素を産生する。","電子伝達系が内膜で行われる点と混同しやすい。部位の違いを区別する。"
A_LIFE_060,"電子伝達系で最終的に電子を受け取る物質はどれか。","NAD+","FAD","酸素","水","二酸化炭素",C,"電子伝達系の最終電子受容体は酸素であり水に還元される。これによりATP合成が可能となる。","二酸化炭素と混同しやすい。CO2はクエン酸回路で生成される産物である。"
A_LIFE_061,"1分子のグルコースが完全に酸化されたとき理論上生成されるATPの分子数として最も近いのはどれか。","2","4","10","30","100",D,"解糖系、クエン酸回路、電子伝達系を通じて理論上は約30分子前後のATPが生成される。教科書的には30〜32分子とされることが多い。","古い数値である36や38を選びやすい。理論値と実測値の違いを理解する必要がある。"
A_LIFE_062,"塩基性アミノ酸はどれか。","グリシン","アラニン","リシン","アスパラギン酸","グルタミン酸",C,"リシンは側鎖にアミノ基を持ち生理的pHで正電荷を帯びる塩基性アミノ酸である。アスパラギン酸やグルタミン酸は酸性である。","酸性アミノ酸と混同しやすい。側鎖の電荷に注目する必要がある。"
A_LIFE_063,"タンパク質の一次構造を決定しているのはどれか。","アミノ酸配列","$\alpha$ヘリックス構造","$\beta$シート構造","ジスルフィド結合","四次構造",A,"一次構造とはアミノ酸がどの順番で結合しているかという配列情報であり高次構造の基盤となる。","立体構造と混同しやすい。一次構造は配列のみを指す点に注意する。"
A_LIFE_064,"酵素の活性部位に基質が結合する様式として正しいのはどれか。","共有結合","イオン結合のみ","疎水性相互作用のみ","複数の弱い相互作用","金属結合",D,"基質は水素結合、疎水性相互作用、静電相互作用など複数の弱い結合により活性部位に結合する。","単一の結合様式で結合すると誤解しやすい。複数の弱い相互作用の総和である。"
A_LIFE_065,"競合的阻害について正しいのはどれか。","阻害剤は活性部位以外に結合する","基質濃度を上げても阻害は解除されない","見かけの$K_m$は変化しない","見かけの$V_{max}$は変化する","阻害剤は基質と構造が類似している",E,"競合阻害では阻害剤が基質と似た構造をもち活性部位に結合するため基質濃度を上げると阻害は緩和される。","非競合阻害と混同しやすい。$V_{max}$は変化せず$K_m$が増加する点に注意する。"
A_LIFE_066,"ステロイドホルモンはどれか。","インスリン","グルカゴン","アドレナリン","コルチゾール","甲状腺ホルモン",D,"コルチゾールはコレステロールを前駆体とするステロイドホルモンであり細胞内受容体を介して作用する。","甲状腺ホルモンと混同しやすい。ステロイド骨格の有無で判断する。"
A_LIFE_067,"セカンドメッセンジャーとして働く物質はどれか。","インスリン","cAMP","インスリン受容体","グルコース","アミノ酸",B,"cAMPはホルモン刺激を細胞内に伝える代表的なセカンドメッセンジャーである。","ホルモン自体と混同しやすい。細胞内で働く分子である点を確認する。"
A_LIFE_068,"アポトーシスの特徴として誤っているのはどれか。","プログラムされた細胞死である","炎症反応を伴う","DNA断片化が起こる","カスパーゼが関与する","発生過程で重要である",B,"アポトーシスは周囲に炎症を起こさず静かに進行する細胞死であるため炎症反応を伴うという記述は誤りである。","壊死と混同しやすい。炎症を伴わない点が重要である。"
A_LIFE_069,"免疫グロブリンの基本構造を構成する鎖の数はいくつか。","1本","2本","4本","6本","8本",C,"免疫グロブリンは2本の重鎖と2本の軽鎖からなる計4本のポリペプチド鎖で構成される。","二量体構造と誤解し2本と答えやすい。鎖の本数を正確に覚える必要がある。"
A_LIFE_070,"MHCクラスI分子を発現している細胞はどれか。","ほぼすべての有核細胞","B細胞のみ","T細胞のみ","マクロファージのみ","赤血球のみ",A,"MHCクラスI分子はほぼすべての有核細胞に発現し細胞内抗原をCD8陽性T細胞に提示する。","抗原提示細胞のみと誤解しやすい。赤血球には核がない点に注意する。"
A_LIFE_071,"自然免疫で働く細胞はどれか。","B細胞","T細胞","形質細胞","NK細胞","記憶細胞",D,"NK細胞は抗原特異性を持たず自然免疫として腫瘍細胞やウイルス感染細胞を攻撃する。","獲得免疫のリンパ球と混同しやすい。抗原特異性の有無で区別する。"
A_LIFE_072,"抗原提示細胞として働くのはどれか。","赤血球","血小板","樹状細胞","好中球","好酸球",C,"樹状細胞は抗原を取り込みMHC分子上に提示してT細胞を活性化する代表的な抗原提示細胞である。","好中球と混同しやすい。抗原提示能の強さに注目する。"
A_LIFE_073,"ワクチンによって獲得される免疫はどれか。","自然免疫","受動免疫","能動免疫","非特異的免疫","先天性免疫",C,"ワクチンは抗原を投与して自ら抗体や記憶細胞を産生させるため能動免疫に分類される。","免疫グロブリン投与による受動免疫と混同しやすい。"
A_ANAT_074,"骨の構造で造血機能をもつのはどれか。","骨膜","緻密質","骨端軟骨","赤色骨髄","黄色骨髄",D,"赤色骨髄では赤血球や白血球などの血球が産生される。黄色骨髄は主に脂肪組織である。","黄色骨髄と混同しやすい。造血機能の有無で区別する。"
A_ANAT_075,"肋骨の数として正しいのはどれか。","10対","11対","12対","13対","14対",C,"ヒトの肋骨は左右12対からなり胸郭を形成する。","数を曖昧に覚えて誤答しやすい。対で数える点に注意する。"
A_ANAT_076,"成人の脊柱を構成する椎骨数として正しいのはどれか。ただし仙骨と尾骨を除く。","22個","24個","26個","28個","30個",B,"頸椎7個、胸椎12個、腰椎5個で合計24個となる。","仙骨と尾骨を含めて数えてしまう誤りが多い。除外条件に注意する。"
A_ANAT_077,"脳頭蓋を構成しない骨はどれか。","前頭骨","頭頂骨","後頭骨","側頭骨","上顎骨",E,"上顎骨は顔面頭蓋に属し脳頭蓋には含まれない。","頭蓋骨全体と脳頭蓋の区別を誤りやすい。分類に注意する。"
A_ANAT_078,"心臓の房室弁はどれか。","僧帽弁と三尖弁","大動脈弁と肺動脈弁","僧帽弁と大動脈弁","三尖弁と肺動脈弁","すべて房室弁",A,"房室弁は心房と心室の間にある弁であり僧帽弁と三尖弁が該当する。","半月弁と混同しやすい。位置関係を確認する必要がある。"
A_ANAT_079,"心臓刺激伝導系で最初に興奮するのはどれか。","洞房結節","房室結節","ヒス束","プルキンエ線維","心室筋",A,"洞房結節は心臓のペースメーカーとして自発的に興奮を開始する。","房室結節と混同しやすい。起点である点を意識する。"
